Baths,Beds,HOA,SQFT,cashflow,citystatezip,insurance,mortgage_pmt,price,price_estimate,rent,search_date,street,tax,total_pmt,year_built,zipcode
2,2,605,1014,-637.3966666666665,"Arlington, VA 22201",42.25,2050.98,515000.0,,2490.0,28,1024 Utah St #721 ,429.1666666666667,3127.3966666666665,2005,22201
1,2,174,840,219.0,"Sterling, VA 20164",35.0,886.5,222600.0,,1500.0,28,251 Coventry Sq ,185.5,1281.0,1986,20164
"2,5",4,65,2468,137.66666666666652,"Burke, VA 22015",102.83333333333333,2389.5,600000.0,,3195.0,28,5921 Oakland Park Dr ,500.0,3057.3333333333335,1979,22015
"3,5",4,,1992,-3305.6099999999997,"Arlington, VA 22201",83.0,5890.11,1479000.0,,3900.0,28,936 Danville St N ,1232.5,7205.61,2009,22201
2,2,141,840,342.27666666666687,"Sterling, VA 20164",35.0,935.89,235000.0,,1650.0,28,46724 Summit Ter ,195.83333333333334,1307.7233333333331,1991,20164
"3,5",5,81,2223,-23.161666666666406,"Burke, VA 22015",92.625,2269.62,569900.0,,2895.0,28,5206 Dalby Ln ,474.9166666666667,2918.1616666666664,1970,22015
1,1,330,750,-472.36666666666633,"Arlington, VA 22201",31.25,1911.2,479900.0,,2200.0,28,1021 Garfield St #139 ,399.9166666666667,2672.3666666666663,2005,22201
"2,5",3,75,2063,139.5383333333334,"Sterling, VA 20164",85.95833333333333,1405.42,352900.0,,2000.0,28,45460 Bluemont Junction Sq ,294.0833333333333,1860.4616666666666,2000,20164
"5,5",6,,3706,-2811.7366666666658,"Arlington, VA 22201",154.41666666666666,9139.82,2295000.0,,8395.0,28,3140 Key Blvd ,1912.5,11206.736666666666,1929,22201
"5,5",6,,1374,-7633.173333333334,"Arlington, VA 22201",57.25,9159.34,2299900.0,,3500.0,28,2512 Custis Rd ,1916.5833333333333,11133.173333333334,2018,22201
1,1,428,756,-341.30499999999984,"Arlington, VA 22201",31.5,1473.48,369990.0,,1900.0,28,1001 Randolph St N #320 ,308.325,2241.305,2005,22201
1,1,349,770,-540.836666666667,"Arlington, VA 22201",32.083333333333336,1951.42,490000.0,,2200.0,28,1020 Highland St N #709 ,408.3333333333333,2740.836666666667,2007,22201
4,6,,3463,-2390.2216666666673,"Arlington, VA 22201",144.29166666666666,6272.43,1575000.0,,5339.0,28,3443 13th St N ,1312.5,7729.221666666667,1925,22201
2,2,295,1450,,"Washington, DC 20002",60.416666666666664,2728.01,685000.0,,,28,1200 Staples St NE #2 ,570.8333333333334,3654.26,1913,20002
1,1,290,560,34.549999999999955,"Washington, DC 20002",23.333333333333332,1035.45,260000.0,,1600.0,28,315 Evarts St NE #202 ,216.66666666666666,1565.45,1936,20002
3,4,,3082,-504.4516666666668,"Washington, DC 20002",128.41666666666666,2787.71,699990.0,,2995.0,28,1716 Constitution Ave NE ,583.325,3499.451666666667,1929,20002
"3,5",3,,1528,-640.6866666666665,"Washington, DC 20002",63.666666666666664,3578.27,898500.0,,3750.0,28,617 Acker Pl NE ,748.75,4390.6866666666665,1912,20002
"2,5",3,,1800,-2229.913333333333,"Washington, DC 20002",75.0,4759.08,1195000.0,,3600.0,28,323 F St NE ,995.8333333333334,5829.913333333333,1890,20002
"1,5",2,,1028,-1152.296666666667,"Washington, DC 20002",42.833333333333336,2984.88,749500.0,,2500.0,28,1224 Linden Pl NE ,624.5833333333334,3652.296666666667,1900,20002
"1,5",2,,1254,-336.92666666666673,"Washington, DC 20002",52.25,2385.51,599000.0,,2600.0,28,1359 Florida Ave NE ,499.1666666666667,2936.9266666666667,1921,20002
1,2,,720,66.90666666666675,"Washington, DC 20002",30.0,1987.26,499000.0,,2500.0,28,935 8th St NE ,415.8333333333333,2433.0933333333332,1926,20002
2,2,,2438,-169.9333333333334,"Washington, DC 20002",101.58333333333333,3982.1,999900.0,,4747.0,28,331 11th St NE ,833.25,4916.933333333333,1900,20002
1,2,,780,310.2066666666667,"Washington, DC 20002",32.5,1453.21,364900.0,,2100.0,28,1536 Levis St NE ,304.0833333333333,1789.7933333333333,1909,20002
"2,5",3,,1658,-440.3433333333337,"Washington, DC 20002",69.08333333333333,2783.76,699000.0,,2995.0,28,1259 Morse St NE ,582.5,3435.3433333333337,1900,20002
2,2,480,911,-810.6583333333333,"Washington, DC 20002",37.958333333333336,2309.45,579900.0,,2500.0,28,520 E St NE #402 ,483.25,3310.6583333333333,1908,20002
1,3,,988,-551.06,"Washington, DC 20002",41.166666666666664,2489.06,625000.0,,2500.0,28,1535 N Carolina Ave NE ,520.8333333333334,3051.06,1925,20002
"2,5",3,,1536,7.690000000000055,"Washington, DC 20002",64.0,2090.81,525000.0,,2600.0,28,1835 Kendall St NE ,437.5,2592.31,1905,20002
"2,5",4,,2024,-1661.3466666666664,"Washington, DC 20002",84.33333333333333,4281.18,1075000.0,,3600.0,28,1018 D St NE ,895.8333333333334,5261.346666666666,1920,20002
"2,5",2,,944,-178.59166666666715,"Washington, DC 20002",39.333333333333336,2389.3,599950.0,,2750.0,28,2319 3rd St NE ,499.9583333333333,2928.591666666667,1923,20002
"2,5",2,860,1840,-2901.8466666666673,"Washington, DC 20002",76.66666666666667,5077.68,1275000.0,,4175.0,28,215 I St NE #308 ,1062.5,7076.846666666667,1874,20002
"2,5",3,,1350,-338.37249999999995,"Washington, DC 20002",56.25,2548.79,639999.0,,2800.0,28,319 Bryant St NE ,533.3325,3138.3725,1925,20002
,,,1184,-1379.6191666666668,"Washington, DC 20002",49.333333333333336,2588.62,649999.0,,1800.0,28,1715 Montello Ave NE ,541.6658333333334,3179.619166666667,1952,20002
2,3,,1338,-399.6399999999999,"Washington, DC 20002",55.75,2186.39,549000.0,,2300.0,28,1802 M St NE ,457.5,2699.64,1929,20002
"3,5",4,40,3530,-515.5333333333333,"Herndon, VA 20170",147.08333333333334,2628.45,660000.0,,2850.0,28,1499 Kingstream Cir ,550.0,3365.5333333333333,1994,20170
"3,5",3,71,1956,-99.10666666666657,"Herndon, VA 20170",81.5,2105.94,528800.0,,2600.0,28,1723 Stuart Pointe Ln ,440.6666666666667,2699.1066666666666,1999,20170
"2,5",4,4,1872,120.42666666666673,"Herndon, VA 20170",78.0,2106.74,529000.0,,2750.0,28,1301 Cold Harbor Ct ,440.8333333333333,2629.5733333333333,1982,20170
3,4,,1631,35.798333333333176,"Herndon, VA 20170",67.95833333333333,1692.16,424900.0,,2150.0,28,901 Sterling Ct ,354.0833333333333,2114.201666666667,1963,20170
"3,5",5,20,3248,-636.646666666667,"Herndon, VA 20170",135.33333333333334,2847.48,715000.0,,2962.0,28,1229 Rowland Dr ,595.8333333333334,3598.646666666667,1989,20170
"2,5",3,4,1806,-78.65999999999985,"Herndon, VA 20170",75.25,2066.91,519000.0,,2500.0,28,1325 Rock Chapel Rd ,432.5,2578.66,1979,20170
"3,5",4,40,2814,-78.19333333333361,"Herndon, VA 20170",117.25,2250.11,565000.0,,2800.0,28,1444 Kingstream Dr ,470.8333333333333,2878.1933333333336,1985,20170
"3,5",4,20,2572,-690.8833333333332,"Herndon, VA 20170",107.16666666666667,2947.05,740000.0,,3000.0,28,1202 Rowland Dr ,616.6666666666666,3690.883333333333,1988,20170
6,5,,8262,275.5566666666673,"Herndon, VA 20170",160,4639.61,1165000.0,,6046.0,28,11687 Caris Glenne Dr ,970.8333333333334,5770.443333333333,2002,20170
"2,5",3,107,1428,49.09333333333325,"Herndon, VA 20170",59.5,1310.24,329000.0,,1800.0,28,765 Cordell Way ,274.1666666666667,1750.9066666666668,1974,20170
